Altitude_ft,DeltaISA_C,RPM,POH_KTAS,POH_PercentMCP,POH_FuelFlow_GPH,Density_kgpm3,AdvanceRatio,LiftCoefficient,EnginePower_kW,CurrentPolarPowerRequired_kW,CurrentPolarEtaImplied,ExternalPolarPowerRequired_kW,ExternalPolarEtaImplied,HaberkornPowerRequired_kW,HaberkornEtaImplied,CurrentProxyEta,CurrentProxyPowerMargin_kW
10000,0,2600,117,64,9,0.904636906558545,0.71953937007874,0.427286665389302,85.9046252062775,58.6817853612371,0.68310390995046,65.9970157614464,0.76825916652301,57.3440910985445,0.667532056170988,0.849240995679721,14.2719440824353
10000,0,2650,120,68,9.4,0.904636906558545,0.724064774922003,0.406189386285706,91.2736642816699,61.6976715445372,0.675963565504926,69.4941590836051,0.761382372785502,61.1646982603775,0.670124276720431,0.849527286354959,15.8417967883434
10000,0,2700,123,72,9.8,0.904636906558545,0.728422572178478,0.386616905447429,96.6427033570622,64.9070563342896,0.671618798725858,73.2117865365397,0.757551103118948,65.2155270111476,0.674810665945448,0.849744213882112,17.2145216572994
12000,0,2300,95,44,6.6,0.849137221978272,0.660446764806573,0.690462785114502,59.0594298293158,42.0676835169869,0.712294101696618,46.4914114008751,0.787197091730096,35.0096329448682,0.5927865041374,0.841358727304537,7.6224831995378
12000,0,2400,102,49,7.1,0.849137221978272,0.679564960629921,0.598945274476969,65.7707286735562,45.8220227106698,0.696693249942554,50.9260632159971,0.774296776743366,40.11980582125,0.609994850754642,0.844943690576066,9.75053950664188
12000,0,2500,109,54,7.8,0.849137221978272,0.697153700787402,0.524486712874201,72.4820275177967,50.5142989560972,0.696921715437586,56.4216644438907,0.778422822540903,46.2940270799582,0.638696635087802,0.847112461926268,10.8861298199111
12000,0,2600,116,61,8.5,0.849137221978272,0.713389460932768,0.463096509784363,81.8778458997333,56.1640090322368,0.685948786452133,63.0034861959264,0.769481481878258,53.5758382314716,0.654338638770247,0.848762867660734,13.3308662515044
12000,0,2650,119,64,8.9,0.849137221978272,0.718030901797653,0.440041426146344,85.9046252062775,58.8848630811939,0.685467900474478,66.1647688117779,0.770211949041166,57.0475311708146,0.664079856396903,0.849132764275716,14.0595687842819
2000,20,2100,89,42,6.3,1.07896406772792,0.677661417322835,0.619125041134399,56.3749102916196,39.7771737062086,0.705582918011696,44.150842062672,0.783164741802439,34.4212662246996,0.610577756073458,0.8446832332271,7.84176779180441
2000,20,2200,95,47,6.9,1.07896406772792,0.690467072297781,0.543389412833859,63.0862091358601,43.5917114633396,0.69098638292661,48.6264489203533,0.770793642325746,39.4762069510942,0.625750183626975,0.846316860135144,9.79921097035051
2000,20,2300,102,53,7.7,1.07896406772792,0.709111263266005,0.471365768053208,71.1397677489486,49.0389998339205,0.689333144957383,54.9784200058199,0.772822596214231,46.5225135674446,0.653959311922721,0.848376888874904,11.3143350042157
2000,20,2400,109,60,8.5,1.07896406772792,0.726201771653543,0.412767397594948,80.5355861308852,55.5911578312946,0.690268246647497,62.5863994336105,0.777127260636013,54.8637492112899,0.681236107503163,0.849641207181134,12.8351947899909
2000,20,2500,115,68,9.4,1.07896406772792,0.735529133858268,0.370819618209873,91.2736642816699,62.1172184487656,0.680560147745053,70.1440048280259,0.768502123586953,63.0937026485269,0.691258569983782,0.849960331326717,15.4617754854861
2000,20,2550,117,72,9.9,1.07896406772792,0.733647985178323,0.358250379927356,96.6427033570622,64.4844880281469,0.667246318533728,72.8820795502564,0.754139495466944,66.0666380650488,0.683617446223073,0.849920740972033,17.6541500186278
4000,20,2100,87,40,6.1,1.01543311792173,0.662433070866142,0.688454964594067,53.6903907539235,38.5287389953565,0.717609584402978,42.5852915451958,0.793164120193777,32.0980114032443,0.597835310053108,0.841825649004874,6.66920904639041
4000,20,2200,94,45,6.7,1.01543311792173,0.683198997852541,0.589736942848856,60.4016895981639,42.3451626892652,0.701059241404936,47.0900885916892,0.779615419783235,37.2780718754211,0.617169356079641,0.845408236596657,8.71892320137719
4000,20,2300,101,51,7.3,1.01543311792173,0.702159192057515,0.510824000295314,68.4552482112524,47.1893573472284,0.689346084928396,52.7578726158272,0.770691422416828,43.6269017126871,0.637305434611161,0.847670835450445,10.8381600949714
4000,20,2400,107,57,8.1,1.01543311792173,0.712876968503937,0.45514155183968,76.5088068243409,52.1781213095659,0.681988433427845,58.5654791114636,0.765473695674356,50.0390625718293,0.654030099916676,0.848718801289219,12.7563415064572
4000,20,2500,114,64,8.9,1.01543311792173,0.729133228346457,0.400963036858456,85.9046252062775,59.0039474638529,0.686854139950792,66.4849873640171,0.773939554527718,58.7038707521661,0.683361001939116,0.849773751690419,13.9955481852449
4000,20,2550,117,68,9.4,1.01543311792173,0.733647985178323,0.380664447878771,91.2736642816699,62.2699374304464,0.682233346502687,70.2671427126995,0.769851229987388,62.822237224199,0.68828437774044,0.849920740972033,15.305442947063
4000,20,2600,119,72,9.8,1.01543311792173,0.731839188370685,0.367976528988948,96.6427033570622,64.5632930791899,0.668061745340984,72.9208929157547,0.754541112600468,65.706548671912,0.679891459877198,0.849870466725923,17.5704863285314
6000,20,2200,92,43,6.4,0.95480545236776,0.668662848962062,0.654748963952644,57.7171700604677,40.8629553029011,0.707986120249672,45.255906908339,0.784097814583189,34.661653770057,0.600543195963065,0.843154189017121,7.80151841179589
6000,20,2300,99,48,7,0.95480545236776,0.688255049640534,0.565431612171735,64.4284689047082,44.9864946463897,0.698239387202049,50.1077726547738,0.777727198963627,40.1879540556905,0.62376081162397,0.846044089096198,9.52283063995683
6000,20,2400,106,54,7.7,0.95480545236776,0.706214566929134,0.49321780267846,72.4820275177967,50.1123844297123,0.691376692207018,56.0949753572589,0.773915648861862,46.861539585499,0.646526334738538,0.848093657992154,11.3591634265438
